filename,char
J2.png.cx_contour_29.png, 
J2.png.cx_contour_3.png, 
J2.png.cx_contour_30.png,d
J2.png.cx_contour_31.png,w
J2.png.cx_contour_32.png,i
J2.png.cx_contour_33.png, 
J2.png.cx_contour_34.png,u
J2.png.cx_contour_35.png,d
J2.png.cx_contour_36.png,1
J2.png.cx_contour_37.png, 
J2.png.cx_contour_38.png, 
J2.png.cx_contour_39.png, 
J2.png.cx_contour_4.png, 
J2.png.cx_contour_40.png,j
J2.png.cx_contour_41.png, 
J2.png.cx_contour_42.png, 
J2.png.cx_contour_5.png, 
J2.png.cx_contour_6.png,1
J2.png.cx_contour_7.png,w
J2.png.cx_contour_8.png,l
J2.png.cx_contour_9.png, 
J3.png.cx_contour_0.png, 
J3.png.cx_contour_1.png, 
J3.png.cx_contour_10.png, 
J3.png.cx_contour_11.png,o
J3.png.cx_contour_12.png,a
J3.png.cx_contour_13.png, 
J3.png.cx_contour_14.png,g
J3.png.cx_contour_15.png, 
J3.png.cx_contour_16.png, 
J3.png.cx_contour_17.png, 
J3.png.cx_contour_18.png, 
J3.png.cx_contour_19.png,z
J3.png.cx_contour_2.png,f
J3.png.cx_contour_20.png, 
J3.png.cx_contour_21.png,s
J3.png.cx_contour_22.png, 
J3.png.cx_contour_23.png, 
J3.png.cx_contour_24.png, 
J3.png.cx_contour_25.png,r
J3.png.cx_contour_26.png, 
J3.png.cx_contour_27.png, 
J3.png.cx_contour_28.png, 
J3.png.cx_contour_29.png, 
J3.png.cx_contour_3.png, 
J3.png.cx_contour_30.png, 
J3.png.cx_contour_31.png,w
J3.png.cx_contour_32.png,u
J3.png.cx_contour_33.png, 
J3.png.cx_contour_34.png,o
J3.png.cx_contour_35.png,e
J3.png.cx_contour_36.png,1
J3.png.cx_contour_37.png, 
J3.png.cx_contour_38.png, 
J3.png.cx_contour_39.png, 
J3.png.cx_contour_4.png, 
J3.png.cx_contour_40.png,a
J3.png.cx_contour_41.png,j
J3.png.cx_contour_42.png, 
J3.png.cx_contour_43.png, 
J3.png.cx_contour_5.png, 
J3.png.cx_contour_6.png,1
J3.png.cx_contour_7.png,w
J3.png.cx_contour_8.png,u
J3.png.cx_contour_9.png, 
J4.png.cx_contour_0.png,s
J4.png.cx_contour_1.png,c
J4.png.cx_contour_10.png,e
J4.png.cx_contour_11.png, 
J4.png.cx_contour_12.png, 
J4.png.cx_contour_13.png,s
J4.png.cx_contour_14.png,1
J4.png.cx_contour_15.png, 
J4.png.cx_contour_16.png,e
J4.png.cx_contour_17.png,v
J4.png.cx_contour_18.png,a
J4.png.cx_contour_2.png,a
J4.png.cx_contour_3.png,1
J4.png.cx_contour_4.png,i
J4.png.cx_contour_5.png,b
J4.png.cx_contour_6.png,t
J4.png.cx_contour_7.png,t
J4.png.cx_contour_8.png,g
J4.png.cx_contour_9.png,d
J5.png.cx_contour_0.png, 
J5.png.cx_contour_1.png,p
J5.png.cx_contour_10.png,o
J5.png.cx_contour_11.png,i
J5.png.cx_contour_12.png,u
J5.png.cx_contour_13.png,d
J5.png.cx_contour_14.png,n
J5.png.cx_contour_15.png,w
J5.png.cx_contour_16.png, 
J5.png.cx_contour_17.png,g
J5.png.cx_contour_18.png,d
J5.png.cx_contour_19.png, 
J5.png.cx_contour_2.png, 
J5.png.cx_contour_20.png,n
J5.png.cx_contour_21.png, 
J5.png.cx_contour_22.png, 
J5.png.cx_contour_23.png, 
J5.png.cx_contour_24.png,1
J5.png.cx_contour_25.png, 
J5.png.cx_contour_26.png,o
J5.png.cx_contour_27.png,e
J5.png.cx_contour_28.png, 
J5.png.cx_contour_29.png,a
J5.png.cx_contour_3.png, 
J5.png.cx_contour_4.png,1
J5.png.cx_contour_5.png,d
J5.png.cx_contour_6.png, 
J5.png.cx_contour_7.png, 
J5.png.cx_contour_8.png, 
J5.png.cx_contour_9.png,n
J6.png.cx_contour_0.png, 
J6.png.cx_contour_1.png, 
J6.png.cx_contour_10.png, 
J6.png.cx_contour_11.png, 
J6.png.cx_contour_12.png, 
J6.png.cx_contour_13.png,t
J6.png.cx_contour_14.png, 
J6.png.cx_contour_15.png,y
J6.png.cx_contour_16.png,g
J6.png.cx_contour_17.png, 
J6.png.cx_contour_18.png,i
J6.png.cx_contour_19.png,a
J6.png.cx_contour_2.png, 
J6.png.cx_contour_20.png,z
J6.png.cx_contour_21.png, 
J6.png.cx_contour_22.png,l
J6.png.cx_contour_23.png, 
J6.png.cx_contour_24.png, 
J6.png.cx_contour_25.png, 
J6.png.cx_contour_26.png,a
J6.png.cx_contour_27.png, 
J6.png.cx_contour_28.png, 
J6.png.cx_contour_29.png, 
J6.png.cx_contour_3.png, 
J6.png.cx_contour_30.png, 
J6.png.cx_contour_31.png,n
J6.png.cx_contour_32.png, 
J6.png.cx_contour_33.png,w
J6.png.cx_contour_34.png, 
J6.png.cx_contour_35.png, 
J6.png.cx_contour_36.png,e
J6.png.cx_contour_37.png,1
J6.png.cx_contour_38.png, 
J6.png.cx_contour_39.png, 
J6.png.cx_contour_4.png, 
J6.png.cx_contour_40.png,o
J6.png.cx_contour_41.png,n
J6.png.cx_contour_42.png,a
J6.png.cx_contour_43.png, 
J6.png.cx_contour_44.png, 
J6.png.cx_contour_5.png, 
J6.png.cx_contour_6.png, 
J6.png.cx_contour_7.png,1
J6.png.cx_contour_8.png,w
J6.png.cx_contour_9.png,u
J7.png.cx_contour_0.png, 
J7.png.cx_contour_1.png, 
J7.png.cx_contour_10.png, 
J7.png.cx_contour_11.png,e
J7.png.cx_contour_12.png,e
J7.png.cx_contour_13.png, 
J7.png.cx_contour_14.png, 
J7.png.cx_contour_15.png,l
J7.png.cx_contour_16.png, 
J7.png.cx_contour_17.png, 
J7.png.cx_contour_18.png, 
J7.png.cx_contour_19.png, 
J7.png.cx_contour_2.png, 
J7.png.cx_contour_20.png,z
J7.png.cx_contour_21.png, 
J7.png.cx_contour_22.png,l
J7.png.cx_contour_23.png, 
J7.png.cx_contour_24.png, 
J7.png.cx_contour_25.png, 
J7.png.cx_contour_26.png,o
J7.png.cx_contour_27.png, 
J7.png.cx_contour_28.png, 
J7.png.cx_contour_29.png, 
J7.png.cx_contour_3.png, 
J7.png.cx_contour_30.png, 
J7.png.cx_contour_31.png,n
J7.png.cx_contour_32.png, 
J7.png.cx_contour_33.png,t
J7.png.cx_contour_34.png, 
J7.png.cx_contour_35.png, 
J7.png.cx_contour_36.png,e
J7.png.cx_contour_37.png,1
J7.png.cx_contour_38.png, 
J7.png.cx_contour_39.png, 
J7.png.cx_contour_4.png, 
J7.png.cx_contour_40.png, 
J7.png.cx_contour_41.png,o
J7.png.cx_contour_42.png, 
J7.png.cx_contour_43.png,h
J7.png.cx_contour_44.png, 
J7.png.cx_contour_5.png, 
J7.png.cx_contour_6.png,o
J7.png.cx_contour_7.png,1
J7.png.cx_contour_8.png, 
J7.png.cx_contour_9.png,u
J8.png.cx_contour_0.png, 
J8.png.cx_contour_1.png, 
J8.png.cx_contour_10.png, 
J8.png.cx_contour_11.png, 
J8.png.cx_contour_12.png,e
J8.png.cx_contour_13.png, 
J8.png.cx_contour_14.png,a
J8.png.cx_contour_15.png, 
J8.png.cx_contour_16.png, 
J8.png.cx_contour_17.png, 
J8.png.cx_contour_18.png,f
J8.png.cx_contour_19.png, 
J8.png.cx_contour_2.png,m
J8.png.cx_contour_20.png,z
J8.png.cx_contour_21.png, 
J8.png.cx_contour_22.png,l
J8.png.cx_contour_23.png, 
J8.png.cx_contour_24.png, 
J8.png.cx_contour_25.png, 
J8.png.cx_contour_26.png,o
J8.png.cx_contour_27.png, 
J8.png.cx_contour_28.png, 
J8.png.cx_contour_29.png,d
J8.png.cx_contour_3.png, 
J8.png.cx_contour_30.png, 
J8.png.cx_contour_31.png,u
J8.png.cx_contour_32.png,y
J8.png.cx_contour_33.png, 
J8.png.cx_contour_34.png, 
J8.png.cx_contour_35.png, 
J8.png.cx_contour_36.png, 
J8.png.cx_contour_37.png,1
J8.png.cx_contour_38.png, 
J8.png.cx_contour_39.png, 
J8.png.cx_contour_4.png,p
J8.png.cx_contour_40.png,o
J8.png.cx_contour_41.png,b
J8.png.cx_contour_42.png, 
J8.png.cx_contour_43.png,h
J8.png.cx_contour_44.png, 
J8.png.cx_contour_5.png,g
J8.png.cx_contour_6.png, 
J8.png.cx_contour_7.png,a
J8.png.cx_contour_8.png,k
J8.png.cx_contour_9.png, 
ss.png.cx_contour_0.png, 
ss.png.cx_contour_1.png, 
ss.png.cx_contour_10.png, 
ss.png.cx_contour_11.png,p
ss.png.cx_contour_12.png, 
ss.png.cx_contour_13.png, 
ss.png.cx_contour_14.png, 
ss.png.cx_contour_15.png,a
ss.png.cx_contour_16.png, 
ss.png.cx_contour_17.png,y
ss.png.cx_contour_18.png,i
ss.png.cx_contour_19.png,t
ss.png.cx_contour_2.png, 
ss.png.cx_contour_20.png, 
ss.png.cx_contour_21.png, 
ss.png.cx_contour_22.png, 
ss.png.cx_contour_23.png, 
ss.png.cx_contour_24.png,p
ss.png.cx_contour_25.png,e
ss.png.cx_contour_26.png, 
ss.png.cx_contour_27.png, 
ss.png.cx_contour_28.png, 
ss.png.cx_contour_29.png,l
ss.png.cx_contour_3.png, 
ss.png.cx_contour_30.png,i
ss.png.cx_contour_31.png,e
ss.png.cx_contour_32.png, 
ss.png.cx_contour_33.png,d
ss.png.cx_contour_34.png,b
ss.png.cx_contour_35.png, 
ss.png.cx_contour_36.png,1
ss.png.cx_contour_37.png, 
ss.png.cx_contour_38.png, 
ss.png.cx_contour_39.png, 
ss.png.cx_contour_4.png,b
ss.png.cx_contour_40.png,n
ss.png.cx_contour_41.png, 
ss.png.cx_contour_42.png, 
ss.png.cx_contour_43.png, 
ss.png.cx_contour_5.png,t
ss.png.cx_contour_6.png,y
ss.png.cx_contour_7.png,1
ss.png.cx_contour_8.png,i
ss.png.cx_contour_9.png,h
ss2.png.cx_contour_0.png, 
ss2.png.cx_contour_1.png, 
ss2.png.cx_contour_10.png, 
ss2.png.cx_contour_11.png,p
ss2.png.cx_contour_12.png,l
ss2.png.cx_contour_13.png,o
ss2.png.cx_contour_14.png, 
ss2.png.cx_contour_15.png,l
ss2.png.cx_contour_16.png, 
ss2.png.cx_contour_17.png, 
ss2.png.cx_contour_18.png,y
ss2.png.cx_contour_19.png, 
ss2.png.cx_contour_2.png, 
ss2.png.cx_contour_20.png,t
ss2.png.cx_contour_21.png, 
ss2.png.cx_contour_22.png,c
ss2.png.cx_contour_23.png, 
ss2.png.cx_contour_24.png, 
ss2.png.cx_contour_25.png,p
ss2.png.cx_contour_26.png,e
ss2.png.cx_contour_27.png, 
ss2.png.cx_contour_28.png, 
ss2.png.cx_contour_29.png,u
ss2.png.cx_contour_3.png, 
ss2.png.cx_contour_30.png, 
ss2.png.cx_contour_31.png,i
ss2.png.cx_contour_32.png, 
ss2.png.cx_contour_33.png,l
ss2.png.cx_contour_34.png, 
ss2.png.cx_contour_35.png, 
ss2.png.cx_contour_36.png,a
ss2.png.cx_contour_37.png,e
ss2.png.cx_contour_38.png, 
ss2.png.cx_contour_39.png,n
ss2.png.cx_contour_4.png,b
ss2.png.cx_contour_40.png,n
ss2.png.cx_contour_41.png,c
ss2.png.cx_contour_42.png,t
ss2.png.cx_contour_43.png, 
ss2.png.cx_contour_44.png, 
ss2.png.cx_contour_5.png,t
ss2.png.cx_contour_6.png,y
ss2.png.cx_contour_7.png,1
ss2.png.cx_contour_8.png, 
ss2.png.cx_contour_9.png,h
